Date,Open,Close,High,Low,Volume,Amount,Amplitude,PctChg,Change,Turnover
2024-03-14,50.09,51.79,52.56,50.08,1183551,6170449923.00,4.85,1.33,0.68,8.14
2024-03-15,51.52,51.95,52.04,50.36,873247,4519641348.00,3.24,0.31,0.16,6.00
2024-03-18,51.79,52.79,53.20,51.47,1177212,6235333231.00,3.33,1.62,0.84,8.09
2024-03-19,52.29,51.92,53.59,51.57,874828,4621801179.00,3.83,-1.65,-0.87,6.01
2024-03-20,51.79,52.91,54.42,51.79,1173258,6313054390.00,5.07,1.91,0.99,8.07
2024-03-21,52.57,51.75,53.51,51.67,803350,4249770080.00,3.48,-2.19,-1.16,5.52
2024-03-22,51.79,53.58,54.17,51.79,1408077,7572538005.00,4.60,3.54,1.83,9.68
2024-03-25,53.49,51.26,53.86,51.26,1118744,5950663556.00,4.85,-4.33,-2.32,7.69
2024-03-26,51.12,48.26,52.42,47.87,1458728,7330450881.00,8.88,-5.85,-3.00,10.03
2024-03-27,48.20,46.54,48.66,46.37,930351,4451525337.00,4.75,-3.56,-1.72,6.40
2024-03-28,46.79,48.36,49.41,46.61,1103207,5363313816.00,6.02,3.91,1.82,7.58
2024-03-29,47.86,47.24,47.98,46.34,688075,3275083157.00,3.39,-2.32,-1.12,4.73
2024-04-01,47.84,48.38,48.99,47.47,690567,3373377167.00,3.22,2.41,1.14,4.75
2024-04-02,48.24,47.03,48.55,46.67,576369,2757050699.00,3.89,-2.79,-1.35,3.96
2024-04-03,46.74,45.54,46.94,45.38,576502,2673734556.00,3.32,-3.17,-1.49,3.96
2024-04-08,45.29,45.39,46.39,45.28,412734,1911853027.00,2.44,-0.33,-0.15,2.84
2024-04-09,45.39,44.97,45.56,44.17,478818,2162923029.00,3.06,-0.93,-0.42,3.29
2024-04-10,44.89,43.42,44.89,43.20,460364,2040888691.00,3.76,-3.45,-1.55,3.17
2024-04-11,43.45,43.87,44.66,43.44,482854,2159067053.00,2.81,1.04,0.45,3.32
2024-04-12,44.53,44.49,45.68,44.49,592906,2701653780.00,2.71,1.41,0.62,4.08
